request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,565000000,1,565000000,3,r0:path:0:swap_tree_3,
r1,0,1000000000,0,1000000000,0,,
r10,200000000,1200000000,0,1000000000,5,r10:path:1:swap_tree_1,physical_failure
r11,200000000,310000000,1,110000000,1,r11:path:0:swap_tree_1,
r12,200000000,1165000000,1,965000000,5,r12:path:2:swap_tree_3,
r13,200000000,1200000000,0,1000000000,0,,
r14,200000000,310000000,1,110000000,1,r14:path:0:swap_tree_0,
r15,200000000,1200000000,0,1000000000,0,,
r16,400000000,1400000000,0,1000000000,0,,
r17,400000000,680000010,1,280000010,1,r17:path:3:swap_tree_3,
r18,400000000,1400000000,0,1000000000,0,,
r19,400000000,1400000000,0,1000000000,0,,
r2,0,110000000,1,110000000,1,r2:path:3:swap_tree_1,
r20,400000000,1365000000,1,965000000,5,r20:path:3:swap_tree_3,
r21,400000000,710000000,1,310000000,2,r21:path:1:swap_tree_0,
r22,400000000,630000010,1,230000010,1,r22:path:0:swap_tree_0,
r23,400000000,630000010,1,230000010,1,r23:path:3:swap_tree_3,
r24,600000000,830000010,1,230000010,1,r24:path:1:swap_tree_1,
r25,600000000,1600000000,0,1000000000,5,r25:path:3:swap_tree_1,physical_failure
r26,600000000,1600000000,0,1000000000,5,r26:path:3:swap_tree_1,physical_failure
r27,600000000,925000010,1,325000010,2,r27:path:0:swap_tree_0,
r28,600000000,830000010,1,230000010,1,r28:path:1:swap_tree_2,
r29,600000000,1600000000,0,1000000000,0,,
r3,0,1000000000,0,1000000000,0,,
r30,600000000,1600000000,0,1000000000,0,,
r31,600000000,1030000010,1,430000010,2,r31:path:1:swap_tree_1,
r32,800000000,1630000010,1,830000010,3,r32:path:0:swap_tree_4,
r33,800000000,1165000000,1,365000000,2,r33:path:1:swap_tree_1,
r34,800000000,925000010,1,125000010,1,r34:path:0:swap_tree_1,
r35,800000000,965000000,1,165000000,1,r35:path:3:swap_tree_1,
r36,800000000,965000000,1,165000000,1,r36:path:0:swap_tree_1,
r37,800000000,1800000000,0,1000000000,5,r37:path:3:swap_tree_4,physical_failure
r38,800000000,1765000000,1,965000000,5,r38:path:2:swap_tree_4,
r39,800000000,1165000000,1,365000000,2,r39:path:2:swap_tree_0,
r4,0,360000000,1,360000000,2,r4:path:1:swap_tree_0,
r5,0,1000000000,0,1000000000,0,,
r6,0,1000000000,0,1000000000,5,r6:path:3:swap_tree_2,physical_failure
r7,0,110000000,1,110000000,1,r7:path:3:swap_tree_1,
r8,200000000,310000000,1,110000000,1,r8:path:0:swap_tree_0,
r9,200000000,775000010,1,575000010,3,r9:path:1:swap_tree_0,
